Zip,2010 Census 5-digit ZCTA code,County Subdivision identifier; a concatenation of 2010 Census state FIPS,2010 Census FIPS class code,MAF/TIGER feature class code,2010 Census functional status,2010 Census land area (square meters),2010 Census water area (square meters),2010 Census latitude of the internal point,2010 Census longitude of the internal point
96701,96701,96701,B5,G6350,S,48968384,2013466,+21.4060530,-157.8849518
96703,96703,96703,B5,G6350,S,48479203,4319417,+22.1455784,-159.3856809
96704,96704,96704,B5,G6350,S,738016982,57244562,+19.3372688,-155.8376215
96705,96705,96705,B5,G6350,S,7534481,1270446,+21.8995324,-159.5685455
96706,96706,96706,B5,G6350,S,44291604,4791628,+21.3447632,-158.0222790
96707,96707,96707,B5,G6350,S,112346897,7860946,+21.3631058,-158.0822064
96708,96708,96708,B5,G6350,S,252977458,21125903,+20.8523889,-156.2235622
96710,96710,96710,B5,G6350,S,99135286,1769037,+19.8424793,-155.2475125
96712,96712,96712,B5,G6350,S,53632343,12294305,+21.6213665,-158.0480108
96713,96713,96713,B5,G6350,S,271036532,12880775,+20.7388207,-156.0450461
96714,96714,96714,B5,G6350,S,202836663,14652267,+22.1312495,-159.5209723
96716,96716,96716,B5,G6350,S,278307672,3987973,+22.0492751,-159.5924185
96717,96717,96717,B5,G6350,S,64440328,5973842,+21.5577941,-157.9053398
96719,96719,96719,B5,G6350,S,52886724,147154,+20.2112561,-155.8518576
96720,96720,96720,B5,G6350,S,775606134,17977655,+19.6598098,-155.2324728
96722,96722,96722,B5,G6350,S,14420781,2841376,+22.1883799,-159.4608936
96725,96725,96725,B5,G6350,S,203206613,17386,+19.6264878,-155.9103359
96726,96726,96726,B5,G6350,S,77692350,0,+19.4281771,-155.8209720
96727,96727,96727,B5,G6350,S,325796336,37663671,+20.1406426,-155.7185352
96728,96728,96728,B5,G6350,S,9506027,862088,+19.8611764,-155.1249570
96729,96729,96729,B5,G6350,S,108269992,26166707,+21.1735584,-157.1168119
96730,96730,96730,B5,G6350,S,2739022,1859827,+21.5431489,-157.8504811
96731,96731,96731,B5,G6350,S,50247076,15654008,+21.6777227,-157.9683464
96732,96732,96732,B5,G6350,S,25135580,4135921,+20.8837833,-156.4626405
96734,96734,96734,B5,G6350,S,56329985,8131760,+21.3950837,-157.7581880
96737,96737,96737,B5,G6350,S,333256092,32409297,+19.0645167,-155.7796715
96738,96738,96738,B5,G6350,S,232200640,1458312,+19.8719409,-155.8021629
96740,96740,96740,B5,G6350,S,612324512,72949235,+19.7568198,-155.9199679
96741,96741,96741,B5,G6350,S,71388699,562690,+21.9567689,-159.5139807
96742,96742,96742,B5,G6350,S,31057603,14125745,+21.1766675,-156.9657475
96743,96743,96743,B5,G6350,S,961758015,36624622,+19.8621592,-155.6988700
96744,96744,96744,B5,G6350,S,89313750,51711168,+21.4517334,-157.8242273
96746,96746,96746,B5,G6350,S,132869776,7623875,+22.0933780,-159.3851904
96747,96747,96747,B5,G6350,S,6704077,53495,+21.9299186,-159.6244407
96748,96748,96748,B5,G6350,S,318183609,55565507,+21.1311732,-156.8352374
96749,96749,96749,B5,G6350,S,162781816,9936840,+19.6212822,-154.9897354
96750,96750,96750,B5,G6350,S,483332309,6313950,+19.5319935,-155.7148279
96751,96751,96751,B5,G6350,S,1000159,0,+22.1049587,-159.3025760
96752,96752,96752,B5,G6350,S,10418466,1877589,+21.9709645,-159.7145071
96753,96753,96753,B5,G6350,S,84485471,20075886,+20.7137447,-156.4378669
96754,96754,96754,B5,G6350,S,107410683,9914228,+22.1789153,-159.4122902
96755,96755,96755,B5,G6350,S,150169427,37661786,+20.1969062,-155.7899080
96756,96756,96756,B5,G6350,S,63917095,9375026,+21.9070715,-159.4516648
96757,96757,96757,B5,G6350,S,39794093,33174,+21.1544529,-156.9773793
96759,96759,96759,B5,G6350,S,15422489,0,+21.4674179,-158.0724275
96760,96760,96760,B5,G6350,S,44922254,0,+19.5547638,-155.0561129
96761,96761,96761,B5,G6350,S,200113445,36165248,+20.8972957,-156.6135404
96762,96762,96762,B5,G6350,S,31223926,2163387,+21.6185312,-157.9439002
96763,96763,96763,B5,G6350,S,365360727,59344100,+20.8364824,-156.9273772
96764,96764,96764,B5,G6350,S,114749964,656178,+19.9120710,-155.2769041
96765,96765,96765,B5,G6350,S,2759853,46226,+21.9111915,-159.4779673
96766,96766,96766,B5,G6350,S,219894211,13355635,+21.9919132,-159.3989062
96768,96768,96768,B5,G6350,S,110579903,232924,+20.8291644,-156.2972216
96769,96769,96769,B5,G6350,S,193434452,44940998,+21.8955674,-160.1525079
96770,96770,96770,B5,G6350,S,177285638,33377439,+21.1336175,-157.2169319
96771,96771,96771,B5,G6350,S,238399863,7555,+19.5242147,-155.1230404
96772,96772,96772,B5,G6350,S,835290208,22393920,+19.1545147,-155.6232141
96773,96773,96773,B5,G6350,S,90153057,7160693,+19.8801617,-155.2391612
96774,96774,96774,B5,G6350,S,100713976,3198,+19.9718975,-155.3195070
96776,96776,96776,B5,G6350,S,174680086,16003467,+19.9940672,-155.3996008
96777,96777,96777,B5,G6350,S,451235936,9584422,+19.2519481,-155.4567691
96778,96778,96778,B5,G6350,S,696950001,27417316,+19.4389404,-155.0281756
96779,96779,96779,B5,G6350,S,21774423,8091311,+20.9099743,-156.3843375
96780,96780,96780,B5,G6350,S,7722731,9570849,+19.9697595,-155.2161658
96781,96781,96781,B5,G6350,S,104368203,3053936,+19.7861519,-155.2177041
96782,96782,96782,B5,G6350,S,45532547,3005779,+21.4173737,-157.9368666
96783,96783,96783,B5,G6350,S,50575776,3795787,+19.8308273,-155.1441585
96785,96785,96785,B5,G6350,S,671710642,0,+19.4537285,-155.4075457
96786,96786,96786,B5,G6350,S,212421182,1035584,+21.5640595,-157.9793072
96789,96789,96789,B5,G6350,S,70646578,395265,+21.4838750,-157.9342839
96790,96790,96790,B5,G6350,S,586785134,7123994,+20.6854531,-156.3053067
96791,96791,96791,B5,G6350,S,96578193,8394014,+21.5636399,-158.1850646
96792,96792,96792,B5,G6350,S,158049156,35322099,+21.4686264,-158.1669188
96793,96793,96793,B5,G6350,S,177903801,15586007,+20.8955602,-156.5298377
96795,96795,96795,B5,G6350,S,28914621,5242480,+21.3350127,-157.7109242
96796,96796,96796,B5,G6350,S,119571582,11429246,+22.0940551,-159.7187487
96797,96797,96797,B5,G6350,S,88892875,4807159,+21.4296209,-157.9718774
96813,96813,96813,B5,G6350,S,8911418,644117,+21.3165482,-157.8450525
96814,96814,96814,B5,G6350,S,3225413,1113492,+21.2931427,-157.8487667
96815,96815,96815,B5,G6350,S,4963329,2299143,+21.2734615,-157.8224438
96816,96816,96816,B5,G6350,S,25614566,1900339,+21.2906757,-157.7883519
96817,96817,96817,B5,G6350,S,24049562,1214220,+21.3555065,-157.8216465
96818,96818,96818,B5,G6350,S,29707781,9410021,+21.3433313,-157.9417205
96819,96819,96819,B5,G6350,S,56664954,9482418,+21.3471175,-157.8773172
96821,96821,96821,B5,G6350,S,29889264,1213625,+21.3110634,-157.7502687
96822,96822,96822,B5,G6350,S,21240589,0,+21.3202084,-157.8107593
96825,96825,96825,B5,G6350,S,29041934,5111680,+21.2945185,-157.6887477
96826,96826,96826,B5,G6350,S,2760669,50162,+21.2915177,-157.8268688
96850,96850,96850,B5,G6350,S,56774,0,+21.3037682,-157.8626629
96853,96853,96853,B5,G6350,S,239948,0,+21.3337549,-157.9389762
96857,96857,96857,B5,G6350,S,1210239,0,+21.4867453,-158.0514999
96859,96859,96859,B5,G6350,S,294633,0,+21.3604602,-157.8906281
96860,96860,96860,B5,G6350,S,865200,0,+21.3556545,-157.9412315
96863,96863,96863,B5,G6350,S,73298,0,+21.4484550,-157.7623277
